ast_parse_calls,commit,duration_ms,exit_code,git_show_calls,history_path,impacted_external,impacted_internal,impacted_internal_ratio,impacted_test,impacted_total,llm_fallbacks,llm_success_calls,llm_success_rate,llm_total_calls,llm_total_completion_tokens,llm_total_latency_ms,llm_total_prompt_tokens,mode,num_changed_targets,num_files_changed,num_targets,ok,patch_added_lines,patch_path,patch_removed_lines,patch_total_lines,readme_generated,readme_path,run_dir,runner_ms,stderr,style,subprocess_calls,verifier_checked,verifier_ok
0,e015af4,1891,0,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/e015af4_20260211_160452/history.json,0,0,0.0,0,0,0,,0.0,,,,,llm,0,0,0,True,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/e015af4_20260211_160452/docstring_patch_e015af4.diff,0,0,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/e015af4_20260211_160452,2114,,google,0,0,True
0,0486c36,1890,0,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/0486c36_20260211_160454/history.json,0,0,0.0,0,0,0,,0.0,,,,,llm,0,0,0,True,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/0486c36_20260211_160454/docstring_patch_0486c36.diff,0,0,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/0486c36_20260211_160454,2121,,google,0,0,True
0,8889e20,1927,0,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/8889e20_20260211_160456/history.json,0,0,0.0,0,0,0,,0.0,,,,,llm,0,0,0,True,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/8889e20_20260211_160456/docstring_patch_8889e20.diff,0,0,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/8889e20_20260211_160456,2168,,google,0,0,True
0,722ce55,1898,0,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/722ce55_20260211_160459/history.json,0,0,0.0,0,0,0,,0.0,,,,,llm,0,0,0,True,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/722ce55_20260211_160459/docstring_patch_722ce55.diff,0,0,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/722ce55_20260211_160459,2136,,google,0,0,True
0,b337466,1878,0,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/b337466_20260211_160501/history.json,0,0,0.0,0,0,0,,0.0,,,,,llm,0,0,0,True,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/b337466_20260211_160501/docstring_patch_b337466.diff,0,0,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/b337466_20260211_160501,2112,,google,0,0,True
0,61e6911,1880,0,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/61e6911_20260211_160503/history.json,0,0,0.0,0,0,0,,0.0,,,,,llm,0,0,0,True,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/61e6911_20260211_160503/docstring_patch_61e6911.diff,0,0,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/61e6911_20260211_160503,2113,,google,0,0,True
1,fe875c0,2005,0,1,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/fe875c0_20260211_160505/history.json,0,8,1.0,0,8,0,,0.0,,,,,llm,0,0,0,True,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/fe875c0_20260211_160505/docstring_patch_fe875c0.diff,0,0,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/fe875c0_20260211_160505,2242,,google,1,0,True
4,5cdb4b6,1950,0,2,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/5cdb4b6_20260211_160507/history.json,0,3,1.0,0,3,0,,0.0,,,,,llm,1,1,1,True,11,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/5cdb4b6_20260211_160507/docstring_patch_5cdb4b6.diff,1,12,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/5cdb4b6_20260211_160507,2186,,google,2,1,True
0,e35561c,1897,0,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/e35561c_20260211_160509/history.json,0,0,0.0,0,0,0,,0.0,,,,,llm,0,0,0,True,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/e35561c_20260211_160509/docstring_patch_e35561c.diff,0,0,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/e35561c_20260211_160509,2134,,google,0,0,True
12,14713ac,2119,0,2,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/14713ac_20260211_160512/history.json,0,6,1.0,0,6,0,,0.0,,,,,llm,5,2,5,True,29,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/14713ac_20260211_160512/docstring_patch_14713ac.diff,16,45,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160452/14713ac_20260211_160512,2360,,google,2,5,True
