ast_parse_calls,commit,duration_ms,exit_code,git_show_calls,history_path,impacted_external,impacted_internal,impacted_internal_ratio,impacted_test,impacted_total,llm_fallbacks,llm_success_calls,llm_success_rate,llm_total_calls,llm_total_completion_tokens,llm_total_latency_ms,llm_total_prompt_tokens,mode,num_changed_targets,num_files_changed,num_targets,ok,patch_added_lines,patch_path,patch_removed_lines,patch_total_lines,run_dir,runner_ms,style,subprocess_calls,verifier_checked,verifier_ok
0,8c32e91c,3138,0,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\8c32e91c_20260209_154903\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\8c32e91c_20260209_154903\docstring_patch_8c32e91c.diff,0,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\8c32e91c_20260209_154903,4097,google,0,0,True
0,7a058946,3059,0,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\7a058946_20260209_154907\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\7a058946_20260209_154907\docstring_patch_7a058946.diff,0,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\7a058946_20260209_154907,3880,google,0,0,True
0,442d007e,3046,0,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\442d007e_20260209_154911\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\442d007e_20260209_154911\docstring_patch_442d007e.diff,0,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\442d007e_20260209_154911,4037,google,0,0,True
0,eaf07c5d,3065,0,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\eaf07c5d_20260209_154915\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\eaf07c5d_20260209_154915\docstring_patch_eaf07c5d.diff,0,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\eaf07c5d_20260209_154915,4083,google,0,0,True
0,597b435a,3067,0,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\597b435a_20260209_154919\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\597b435a_20260209_154919\docstring_patch_597b435a.diff,0,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\597b435a_20260209_154919,3961,google,0,0,True
0,74cc27fd,3036,0,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\74cc27fd_20260209_154923\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\74cc27fd_20260209_154923\docstring_patch_74cc27fd.diff,0,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\74cc27fd_20260209_154923,3906,google,0,0,True
0,f1a39cab,2977,0,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\f1a39cab_20260209_154927\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\f1a39cab_20260209_154927\docstring_patch_f1a39cab.diff,0,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\f1a39cab_20260209_154927,3888,google,0,0,True
0,509afeb4,2998,0,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\509afeb4_20260209_154931\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\509afeb4_20260209_154931\docstring_patch_509afeb4.diff,0,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\509afeb4_20260209_154931,3900,google,0,0,True
0,6e47171e,3031,0,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\6e47171e_20260209_154935\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\6e47171e_20260209_154935\docstring_patch_6e47171e.diff,0,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\6e47171e_20260209_154935,3889,google,0,0,True
0,b9b75ba5,3014,0,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\b9b75ba5_20260209_154939\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\b9b75ba5_20260209_154939\docstring_patch_b9b75ba5.diff,0,0,D:\locbench\analyzer\runs\fastapi\batch_run\20260209_154902\b9b75ba5_20260209_154939,3870,google,0,0,True
