ast_parse_calls,commit,duration_ms,exit_code,git_show_calls,history_path,impacted_external,impacted_internal,impacted_internal_ratio,impacted_test,impacted_total,llm_fallbacks,llm_success_calls,llm_success_rate,llm_total_calls,llm_total_completion_tokens,llm_total_latency_ms,llm_total_prompt_tokens,mode,num_changed_targets,num_files_changed,num_targets,ok,patch_added_lines,patch_path,patch_removed_lines,patch_total_lines,readme_generated,readme_path,run_dir,runner_ms,stderr,style,subprocess_calls,verifier_checked,verifier_ok
22,764cd30,263514,0,2,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\764cd30_20260210_144249\history.json,0,10,0.1388888888888889,62,72,0,11,1.0,11,9402,255262,11579,llm,10,2,10,True,221,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\764cd30_20260210_144249\docstring_patch_764cd30.diff,52,273,True,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\764cd30_20260210_144249\README_764cd30_20260210_144249_lxcuiw.md,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\764cd30_20260210_144249,264434,,numpy,3,10,True
0,48fff58,906,0,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\48fff58_20260210_144714\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\48fff58_20260210_144714\docstring_patch_48fff58.diff,0,0,False,,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\48fff58_20260210_144714,1721,,numpy,0,0,True
13,2a2c59e,191337,0,1,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\2a2c59e_20260210_144715\history.json,0,6,0.8571428571428571,1,7,0,7,1.0,7,6312,187194,7095,llm,6,1,6,True,107,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\2a2c59e_20260210_144715\docstring_patch_2a2c59e.diff,0,107,True,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\2a2c59e_20260210_144715\README_2a2c59e_20260210_144715_mug8v5.md,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\2a2c59e_20260210_144715,192167,,numpy,2,6,True
0,36da8cc,944,0,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\36da8cc_20260210_145028\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\36da8cc_20260210_145028\docstring_patch_36da8cc.diff,0,0,False,,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\36da8cc_20260210_145028,1809,,numpy,0,0,True
0,f824d03,906,0,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\f824d03_20260210_145030\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\f824d03_20260210_145030\docstring_patch_f824d03.diff,0,0,False,,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\f824d03_20260210_145030,1791,,numpy,0,0,True
3,66d6de1,40884,0,1,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\66d6de1_20260210_145031\history.json,0,2,0.09523809523809523,19,21,0,2,1.0,2,1363,39271,1524,llm,1,1,1,True,16,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\66d6de1_20260210_145031\docstring_patch_66d6de1.diff,4,20,True,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\66d6de1_20260210_145031\README_66d6de1_20260210_145031_p5dfnt.md,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\66d6de1_20260210_145031,41723,,numpy,2,1,True
3,27ccbb7,46965,0,1,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\27ccbb7_20260210_145113\history.json,0,2,0.09523809523809523,19,21,0,2,1.0,2,1262,45410,1382,llm,1,1,1,True,13,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\27ccbb7_20260210_145113\docstring_patch_27ccbb7.diff,1,14,True,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\27ccbb7_20260210_145113\README_27ccbb7_20260210_145113_pqwz67.md,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\27ccbb7_20260210_145113,47799,,numpy,2,1,False
0,3448880,939,0,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\3448880_20260210_145201\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\3448880_20260210_145201\docstring_patch_3448880.diff,0,0,False,,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\3448880_20260210_145201,1747,,numpy,0,0,True
3,ffe1617,45570,0,1,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\ffe1617_20260210_145203\history.json,0,1,1.0,0,1,0,2,1.0,2,1627,43914,2643,llm,1,1,1,True,7,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\ffe1617_20260210_145203\docstring_patch_ffe1617.diff,0,7,True,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\ffe1617_20260210_145203\README_ffe1617_20260210_145203_448ubq.md,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\ffe1617_20260210_145203,46387,,numpy,2,1,True
0,62952bd,903,0,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\62952bd_20260210_145249\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\62952bd_20260210_145249\docstring_patch_62952bd.diff,0,0,False,,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\62952bd_20260210_145249,1674,,numpy,0,0,True
0,7db92d5,987,0,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\7db92d5_20260210_145251\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\7db92d5_20260210_145251\docstring_patch_7db92d5.diff,0,0,False,,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\7db92d5_20260210_145251,1754,,numpy,0,0,True
