ast_parse_calls,commit,duration_ms,exit_code,git_show_calls,history_path,impacted_external,impacted_internal,impacted_internal_ratio,impacted_test,impacted_total,llm_fallbacks,llm_success_calls,llm_success_rate,llm_total_calls,llm_total_completion_tokens,llm_total_latency_ms,llm_total_prompt_tokens,mode,num_changed_targets,num_files_changed,num_targets,ok,patch_added_lines,patch_path,patch_removed_lines,patch_total_lines,readme_generated,readme_path,run_dir,runner_ms,stderr,style,subprocess_calls,verifier_checked,verifier_ok
0,198b03e,1157,0,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\198b03e_20260210_144330\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\198b03e_20260210_144330\docstring_patch_198b03e.diff,0,0,False,,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\198b03e_20260210_144330,2002,,sphinx,0,0,True
0,f45f4cd,692,0,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\f45f4cd_20260210_144333\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\f45f4cd_20260210_144333\docstring_patch_f45f4cd.diff,0,0,False,,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\f45f4cd_20260210_144333,1577,,sphinx,0,0,True
0,730ff3b,705,0,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\730ff3b_20260210_144334\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\730ff3b_20260210_144334\docstring_patch_730ff3b.diff,0,0,False,,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\730ff3b_20260210_144334,1597,,sphinx,0,0,True
0,9172dac,658,0,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\9172dac_20260210_144336\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\9172dac_20260210_144336\docstring_patch_9172dac.diff,0,0,False,,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\9172dac_20260210_144336,1561,,sphinx,0,0,True
7,df23edd,130085,0,3,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\df23edd_20260210_144337\history.json,0,3,1.0,0,3,0,3,1.0,3,5008,128240,2087,llm,2,2,2,True,25,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\df23edd_20260210_144337\docstring_patch_df23edd.diff,0,25,True,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\df23edd_20260210_144337\README_df23edd_20260210_144337_v3b118.md,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\df23edd_20260210_144337,131075,,sphinx,4,2,True
0,55fe3af,634,0,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\55fe3af_20260210_144548\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\55fe3af_20260210_144548\docstring_patch_55fe3af.diff,0,0,False,,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\55fe3af_20260210_144548,1444,,sphinx,0,0,True
0,db9df86,645,0,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\db9df86_20260210_144550\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\db9df86_20260210_144550\docstring_patch_db9df86.diff,0,0,False,,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\db9df86_20260210_144550,1469,,sphinx,0,0,True
3,9b62204,39131,0,1,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\9b62204_20260210_144551\history.json,0,1,1.0,0,1,0,2,1.0,2,1460,37850,1744,llm,1,1,1,True,14,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\9b62204_20260210_144551\docstring_patch_9b62204.diff,0,14,True,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\9b62204_20260210_144551\README_9b62204_20260210_144551_4rgfke.md,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\9b62204_20260210_144551,39950,,sphinx,2,1,True
0,7dda5f5,667,0,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\7dda5f5_20260210_144631\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\7dda5f5_20260210_144631\docstring_patch_7dda5f5.diff,0,0,False,,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\7dda5f5_20260210_144631,1516,,sphinx,0,0,True
0,0eb6871,646,0,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\0eb6871_20260210_144633\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\0eb6871_20260210_144633\docstring_patch_0eb6871.diff,0,0,False,,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\0eb6871_20260210_144633,1498,,sphinx,0,0,True
