"commit","num_seeds","num_impacted","total_functions","total_call_relations","hop0","hop1","hop2"
"0f10621","0","0","205","319","0","0","0"
"8a80615","1","39","205","319","1","9","29"
"d43a0cb","0","0","205","319","0","0","0"
"2771a87","6","52","205","319","6","10","36"
"ab8fcd4","1","39","205","319","1","9","29"
"3669fba","0","0","205","319","0","0","0"
"1794143","1","1","205","319","1","0","0"
"6e81b9d","0","0","205","319","0","0","0"
"7eb7da9","2","77","205","319","2","31","44"
"a840305","0","0","205","319","0","0","0"
"9679b10","5","82","205","319","5","33","44"
"3de381b","0","0","205","319","0","0","0"
"b62456c","1","1","205","319","1","0","0"
"ade972f","0","0","205","319","0","0","0"
"a3faffc","3","46","205","319","3","7","36"
"bc8a9e9","0","0","205","319","0","0","0"
"6bfa25c","5","82","205","319","5","33","44"
"5294ed1","0","0","205","319","0","0","0"
"fa2a2b1","1","1","205","319","1","0","0"
"dab260e","0","0","205","319","0","0","0"
"976066a","1","2","205","319","1","1","0"
"68e0fa5","1","1","205","319","1","0","0"
"512359b","0","0","205","319","0","0","0"
"a4dcf22","3","46","205","319","3","7","36"
"3b5cf9a","0","0","205","319","0","0","0"
"1a73982","1","1","205","319","1","0","0"
"a62d443","0","0","205","319","0","0","0"
"e8e3be1","6","47","205","319","6","28","13"
"fd58ddc","0","0","205","319","0","0","0"
"ff8b751","6","84","205","319","6","34","44"
